role_number,role_id,role,no,name,party,state,start,end,acting
1,state,Secretary of State,1,,,,,,
2,treasury,Secretary of the Treasury,1,,,,,,
3,defense,Secretary of Defense,1,,,,,,
4,attorney,Attorney General,1,,,,,,
5,interior,Secretary of the Interior,1,,,,,,
6,agriculture,Secretary of Agriculture,1,,,,,,
7,commerce,Secretary of Commerce,1,,,,,,
8,labor,Secretary of Labor,1,,,,,,
9,hhs,Secretary of Health and Human Services,1,,,,,,
10,hud,Secretary of Housing and Urban Development,1,,,,,,
11,transportation,Secretary of Transportation,1,,,,,,
12,energy,Secretary of Energy,1,,,,,,
13,education,Secretary of Education,1,,,,,,
14,va,Secretary of Veterans Affairs,1,,,,,,
15,security,Secretary of Homeland Security,1,Tom Ridge,Republican,,,,false
15,security,Secretary of Homeland Security,2,Michael Chertoff,Republican,,,,false
15,security,Secretary of Homeland Security,3,Janet Napolitano,Democratic,,,,false
15,security,Secretary of Homeland Security,4,Jeh Johnson,Democratic,,,,false
15,security,Secretary of Homeland Security,5,John F. Kelly,Independent,,,,false
15,security,Secretary of Homeland Security,6,Kirstjen Nielsen,Republican,,,,false
15,security,Secretary of Homeland Security,7,Alejandro Mayorkas,Democratic,,,,false
