state,no,name,party,start,end
Hawaii,1,William F. Quinn,Republican,,
Hawaii,2,John A. Burns,Democratic,,
Hawaii,3,George Ariyoshi,Democratic,,
Hawaii,4,John D. Waiheʻe III,Democratic,,
Hawaii,5,Ben Cayetano,Democratic,,
Hawaii,6,Linda Lingle,Republican,,
Hawaii,7,Neil Abercrombie,Democratic,,
Hawaii,8,David Ige,Democratic,,incumbent
Hawaii,9,Josh Green,Democratic,elect,
Alaska,1,William A. Egan,Democratic,,
Alaska,2,Wally Hickel,Republican,,
Alaska,3,Keith Harvey Miller,Republican,,
Alaska,1,William A. Egan,Democratic,,
Alaska,4,Jay Hammond,Republican,,
Alaska,5,Bill Sheffield,Democratic,,
Alaska,6,Steve Cowper,Democratic,,
Alaska,2,Wally Hickel,Alaskan Independence,,
Alaska,7,Tony Knowles,Democratic,,
Alaska,8,Frank Murkowski,Republican,,
Alaska,9,Sarah Palin,Republican,,
Alaska,10,Sean Parnell,Republican,,
Alaska,11,Bill Walker,Independent,,
Alaska,12,Mike Dunleavy,Republican,,incumbent
Arizona,,,,,
New Mexico,,,,,
Oklahoma,,,,,
Utah,,,,,
Idaho,,,,,
Wyoming,,,,,
Montana,,,,,
North Dakota,,,,,
South Dakota,,,,,
Washington,,,,,
Colorado,,,,,
Nebraska,,,,,
Nevada,,,,,
West Virginia,,,,,
Kansas,,,,,
Oregon,,,,,
Minnesota,,,,,
California,,,,,
Wisconsin,,,,,
Iowa,,,,,
Florida,,,,,
Texas,,,,,
Michigan,,,,,
Arkansas,,,,,
Missouri,,,,,
Maine,,,,,
Alabama,,,,,
Illinois,,,,,
Mississippi,,,,,
Indiana,,,,,
Louisiana,,,,,
Ohio,,,,,
Tennessee,,,,,
Kentucky,,,,,
Vermont,,,,,
Rhode Island,,,,,
North Carolina,,,,,
Connecticut,,,,,
Georgia,,,,,
Maryland,,,,,
Massachusetts,,,,,
New Hampshire,,,,,
New York,,,,,
South Carolina,,,,,
Virginia[D],,,,,
Delaware,,,,,
New Jersey,,,,,
Pennsylvania,,,,,
